NET_PRICE,CONTROL,UGDS,PCTPELL,PCTFLOAN,GRAD_DEBT_MDN_SUPP,RPY_3YR_RT_SUPP,SATVRMID,SATMTMID,MD_EARN_WNE_P10,INSTNM
8318.0,1,36681.0,0.3196,0.2504,17988.0,0.5749133749,620.0,615.0,54364.0,University of South Florida
27150.0,2,1797.0,0.2265,0.2438,19125.0,0.4921985816,490.0,470.0,55391.0,St. Thomas University
19900.0,2,2826.0,0.3418,0.5334,23250.0,0.617954071,610.0,583.0,50835.0,Stetson University
27891.0,2,5296.0,0.2742,0.3964,21500.0,0.5504523312,555.0,517.0,42006.0,Southeastern University
34866.0,2,9838.0,0.1875,0.7011,24211.0,0.6488240065,585.0,570.0,57297.0,The University of Tampa
17464.0,2,341.0,0.5584,0.8462,24250.0,0.4691358025,512.0,472.0,30455.0,Trinity Baptist College
17497.0,2,199.0,0.5701,0.6028,23250.0,0.4295774648,490.0,465.0,37862.0,Trinity College of Florida
20162.0,2,762.0,0.5805,0.7524,22250.0,0.3635077793,490.0,460.0,44658.0,Warner University
8152.0,1,8881.0,0.3283,0.2771,16624.0,0.5347567031,580.0,555.0,45884.0,The University of West Florida
7203.0,1,3323.0,0.3712,0.3115,16750.0,0.4412275622,535.0,500.0,34083.0,Abraham Baldwin Agricultural College
20764.0,2,266.0,0.6291,0.7483,12533.0,0.375,530.0,520.0,35432.0,Andrew College
19095.0,2,794.0,0.431,0.327,25250.0,0.3124287343,510.0,500.0,39459.0,Point University
33836.0,2,3376.0,0.6796,0.8918,27000.0,0.3121412804,497.0,460.0,41968.0,Clark Atlanta University
21980.0,2,2170.0,0.2258,0.4487,23250.0,0.726618705,634.0,584.0,47499.0,Berry College
22771.0,2,1310.0,0.4509,0.7386,27000.0,0.4541800643,560.0,505.0,49629.0,Brenau University
13258.0,1,2750.0,0.3891,0.3049,15039.0,0.3863501484,463.0,449.0,35266.0,College of Coastal Georgia
13697.0,1,5986.0,0.4299,0.4376,26000.0,0.3758259912,505.0,495.0,43204.0,Columbus State University
24467.0,2,840.0,0.2023,0.459,22500.0,0.8191268191,605.0,580.0,49143.0,Covenant College
19128.0,2,786.0,0.3462,0.5113,24325.0,0.4142857143,540.0,530.0,39143.0,Emmanuel College
25424.0,2,7050.0,0.196,0.2548,18250.0,0.7968103957,720.0,760.0,81802.0,Emory University
13320.0,1,2635.0,0.7628,0.7919,31000.0,0.191741619,440.0,440.0,36389.0,Fort Valley State University
14820.0,1,16566.0,0.1333,0.2117,21672.0,0.8472092298,680.0,725.0,96375.0,Georgia Institute of Technology-Main Campus
12567.0,1,2018.0,0.3888,0.4043,18851.0,0.4503664224,560.0,520.0,44541.0,Georgia Southwestern State University
19827.0,1,5489.0,0.1718,0.3877,22250.0,0.710251046,595.0,570.0,54288.0,Georgia College & State University
15851.0,1,22404.0,0.3633,0.4451,23250.0,0.5230109204,555.0,540.0,50829.0,Georgia Southern University
17738.0,1,28415.0,0.4918,0.4437,20903.0,0.4443787482,590.0,580.0,44812.0,Georgia State University
